type_name,actual_gid
Platform::Objects::User,/user/{user_id}
Platform::Objects::Package,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/package/{package_id}
Platform::Objects::Repository,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}
Platform::Objects::Project,"/organization/{organization_id}/project/{project_id}
/user/{user_id}/project/{project_id}
/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/project/{project_id}"
Platform::Objects::ProjectColumn,"/organization/{organization_id}/project/{project_id}/project_column/{project_column_id}
/user/{user_id}/project/{project_id}/project_column/{project_column_id}
/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/project/{project_id}/project_column/{project_column_id}"
Platform::Objects::ProjectCard,"/organization/{organization_id}/project/{project_id}/project_card/{project_card_id}
/user/{user_id}/project/{project_id}/project_card/{project_card_id}
/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/project/{project_id}/project_card/{project_card_id}"
Platform::Objects::Issue,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/issue/{issue_id}
Platform::Objects::Sponsorship,"/user/{user_id}/sponsorship/{sponsorship_id}
/organization/{organization_id}/sponsorship/{sponsorship_id}"
Platform::Objects::SponsorsListing,"/user/{user_id}/sponsor_listing/{sponsor_listing_id}
/organization/{organization_id}/sponsor_listing/{sponsor_listing_id}"
Platform::Objects::SponsorsTier,"/user/{user_id}/sponsor_tier/{sponsor_tier_id}
/organization/{organization_id}/sponsor_tier/{sponsor_tier_id}"
Platform::Objects::MarketplaceListing,"/user/{user_id}/application/{application_id}/marketplace_listing/{marketplace_listing_id}
/organization/{organization_id}/application/{application_id}/marketplace_listing/{marketplace_listing_id}
/user/{user_id}/oauth_application/{oauth_application_id}/marketplace_listing/{marketplace_listing_id}
/organization/{organization_id}/oauth_application/{oauth_pplication_id}/marketplace_listing/{marketplace_listing_id}"
Platform::Objects::Organization,/organization/{organization_id}
Platform::Objects::PackageVersion,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/package/{package_id}/version/{package_version_id}
Platform::Objects::Release,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/release/{release_id}
Platform::Objects::Ref,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/ref/{ref_id}
Platform::Objects::Blob,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/blob/{blob_id}
Platform::Objects::Commit,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/commit/{commit_id}
Platform::Objects::Tree,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/tree/{tree_id}
Platform::Objects::CommitComment,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/commit_comment/{commit_comment_id}
Platform::Objects::UserContentEdit,"/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/commit_comment/{commit_comment_id}/edit/{edit_id}
/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/issue/{issue_id}/edit/{edit_id}
/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/issue_comment/{issue_comment_id}/edit/{edit_id}
/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/pull_request_review_comment/{pull_request_review_comment_id}/edit/{edit_id}
/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/discussion/{discussion_id}/edit/{edit_id}
/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/discussion_comment/{discussion_comment_id}/edit/{edit_id}
/organization/{organization_id}/team/{team_id}/discussion/{team_discussion_id}/edit/{edit_id}
/organization/{organization_id}/team/{team_id}/discussion_comment/{team_discussion_comment_id}/edit/{edit_id}"
Platform::Objects::Reaction,"/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/commit_comment/{commit_comment_id}/reaction/{reaction_id}
/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/issue/{issue_id}/reaction/{reaction_id}
/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/issue_comment/{issue_comment_id}/reaction/{reaction_id}
/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/pull_request_review_comment/{pull_request_review_comment_id}/reaction/{reaction_id}
/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/discussion/{discussion_id}/reaction/{reaction_id}
/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/discussion_comment/{discussion_comment_id}/reaction/{reaction_id}
/organization/{organization_id}/team/{team_id}/discussion/{team_discussion_id}/reaction/{reaction_id}
/organization/{organization_id}/team/{team_id}/discussion_comment/{team_discussion_comment_id}/reaction/{reaction_id}"
Platform::Objects::License,/license/{license_id}
Platform::Objects::RepositoryTopic,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/topic/{repository_topic_id}
Platform::Objects::Topic,/topic/{topic_id}
Platform::Objects::Status,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/status/{status_id}
Platform::Objects::StatusContext,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/status_context/{status_context_id}
Platform::Objects::CheckRun,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/check_run/{check_run_id}
Platform::Objects::Bot,/bot/{bot_id}
Platform::Objects::App,"/user/{user_id}/application/{application_id}
/organization/{organization_id}/application/{application_id}"
Platform::Objects::Enterprise,/enterprise/{enterprise_id}
Platform::Objects::EnterpriseUserAccount,/enterprise/{enterprise_id}/user_account/{enterprise_user_account_id}
Platform::Objects::EnterpriseServerInstallation,/enterprise/{enterprise_id}/server_installation/{enterprise_server_installation_id}
Platform::Objects::EnterpriseServerUserAccount,/enterprise/{enterprise_id}/server_user_account/{enterprise_server_user_account_id}
Platform::Objects::EnterpriseServerUserAccountEmail,/enterprise/{enterprise_id}/server_user_account_email/{enterprise_server_user_account_email}
Platform::Objects::EnterpriseServerUserAccountsUpload,/enterprise/{enterprise_id}/server_user_account_upload/{enterprise_server_user_account_upload_id}
Platform::Objects::EnterpriseAdministratorInvitation,/enterprise/{enterprise_id}/administrator_invitation/{enterprise_administrator_invitation_id}
Platform::Objects::OrganizationInvitation,/organization/{organization_id}/invitation/{invitation_id}
Platform::Objects::Team,/organization/{organization_id}/team/{team_id}
Platform::Objects::UserStatus,/user/{user_id}/status/{status_id}
Platform::Objects::TeamDiscussion,/organization/{organization_id}/team/{team_id}/discussion/{team_discussion_id}
Platform::Objects::TeamDiscussionComment,/organization/{organization_id}/team/{team_id}/discussion_comment/{team_discussion_comment_id}
Platform::Objects::EnterpriseRepositoryInfo,
Platform::Objects::RepositoryInvitation,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/invitation/{invitation_id}
Platform::Objects::EnterpriseIdentityProvider,/enterprise/{enterprise_id}/identity_provider/{enterprise_identity_provider_id}
Platform::Objects::ExternalIdentity,"/enterprise/{enterprise_id}/identity_provider/{enterprise_identity_provider_id}/external_identity/{external_identity_id}
/organization/{organization_id}/identity_provider/{organization_identity_provider_id}/external_identity/{external_identity_id}"
Platform::Objects::PublicKey,"/user/{user_id}/public_key/{key_id}
/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/public_key/{key_id}"
Platform::Objects::IpAllowListEntry,"/enterprise/{enterprise_id}/ip_allow_list_entry/{ip_allow_list_entry_id}
/organization/{organization_id}/ip_allow_list_entry/{ip_allow_list_entry_id}
/user/{user_id}/application/{application_id}/ip_allow_list_entry/{ip_allow_list_entry_id}
/organization/{organization_id}/application/{application_id}/ip_allow_list_entry/{ip_allow_list_entry_id}"
Platform::Objects::Mannequin,/mannequin/{mannequin_id}
Platform::Objects::CheckSuite,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/check_suite/{check_suite_id}
Platform::Objects::PullRequest,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/pull_request/{pull_request_id}
Platform::Objects::Label,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/label/{label_id}
Platform::Objects::Milestone,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/milestone/{milestone_id}
Platform::Objects::IssueComment,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/issue_comment/{issue_comment_id}
Platform::Objects::PullRequestReviewComment,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/pull_request_review_comment/{pull_request_review_comment_id}
Platform::Objects::PullRequestReview,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/pull_request_review/{pull_request_review_id}
Platform::Objects::PullRequestReviewThread,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/pull_request_review_thread/{pull_request_review_thread_id}
Platform::Objects::PullRequestCommit,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/pull_request_commit/{pull_request_commit_id}
Platform::Objects::ReviewRequest,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/review_request/{review_request_id}
Platform::Objects::CommitCommentThread,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/commit_comment_thread/{commit_comment_thread_id}
Platform::Objects::ClosedEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/closed_event/{closed_event_id}
Platform::Objects::ReopenedEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/reopened_event/{reopened_event_id}
Platform::Objects::SubscribedEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/subscribed_event/{subscribed_event_id}
Platform::Objects::UnsubscribedEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/unsubscribed_event/{unsubscribed_event_id}
Platform::Objects::MergedEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/merged_event/{merged_event_id}
Platform::Objects::ReferencedEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/referenced_event/{referenced_event_id}
Platform::Objects::CrossReferencedEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/cross_referenced_event/{cross_referenced_event_id}
Platform::Objects::AssignedEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/assigned_event/{assigned_event_id}
Platform::Objects::UnassignedEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/unassigned_event/{unassigned_event_id}
Platform::Objects::LabeledEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/labeled_event/{labeled_event_id}
Platform::Objects::UnlabeledEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/unlabeled_event/{unlabeled_event_id}
Platform::Objects::MilestonedEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/milestoned_event/{milestoned_event_id}
Platform::Objects::DemilestonedEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/demilestoned_event/{demilestoned_event_id}
Platform::Objects::RenamedTitleEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/renamed_title_event/{renamed_title_event_id}
Platform::Objects::LockedEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/locked_event/{locked_event_id}
Platform::Objects::UnlockedEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/unlocked_event/{unlocked_event}
Platform::Objects::DeployedEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/deployed_event/{deployed_event_id}
Platform::Objects::Deployment,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/deployment/{deployment_id}
Platform::Objects::DeploymentStatus,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/deployment_status/{deployment_status_id}
Platform::Objects::DeploymentEnvironmentChangedEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/deployment_environment_changed_event/{deployment_environment_changed_event_id}
Platform::Objects::HeadRefDeletedEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/head_ref_deleted_event/{head_ref_deleted_event_id}
Platform::Objects::HeadRefRestoredEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/head_ref_restored_event/{head_ref_restored_event_id}
Platform::Objects::HeadRefForcePushedEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/head_ref_force_pushed_event/{head_ref_force_pushed_event_id}
Platform::Objects::BaseRefForcePushedEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/base_ref_force_pushed_event/{base_ref_force_pushed_event_id}
Platform::Objects::BaseRefDeletedEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/base_ref_deleted_event/{base_ref_deleted_event_id}
Platform::Objects::ReviewRequestedEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/review_requested_event/{review_requested_event_id}
Platform::Objects::ReviewRequestRemovedEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/review_request_removed_event/{review_request_removed_event_id}
Platform::Objects::ReviewDismissedEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/review_dismissed_event/{review_dismissed_event_id}
Platform::Objects::UserBlockedEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/user_blocked_event/{user_blocked_event_id}
Platform::Objects::PullRequestCommitCommentThread,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/pull_request_commit_comment_thread/{pull_request_commit_comment_thread_id}
Platform::Objects::AutomaticBaseChangeFailedEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/automatic_base_change_failed_event/{automatic_base_change_failed_event_id}
Platform::Objects::AutomaticBaseChangeSucceededEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/automatic_base_change_succeeded_event/{automatic_base_change_succeeded_event_id}
Platform::Objects::BaseRefChangedEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/base_ref_changed_event/{base_ref_changed_event_id}
Platform::Objects::ReadyForReviewEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/ready_for_review_event/{ready_for_review_event_id}
Platform::Objects::ConvertToDraftEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/convert_to_draft_event/{convert_to_draft_event_id}
Platform::Objects::AddedToProjectEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/added_to_project_event/{added_to_project_event_id}
Platform::Objects::CommentDeletedEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/comment_deleted_event/{comment_deleted_event_id}
Platform::Objects::ConnectedEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/connected_event/{connected_event_id}
Platform::Objects::ConvertedNoteToIssueEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/converted_note_to_issue_event/{converted_note_to_issue_event_id}
Platform::Objects::DisconnectedEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/disconnected_event/{disconnected_event_id}
Platform::Objects::MarkedAsDuplicateEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/marked_as_duplicate_event/{marked_as_duplicate_event_id}
Platform::Objects::MentionedEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/mentioned_event/{mentioned_id}
Platform::Objects::MovedColumnsInProjectEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/moved_columns_in_project_event/{moved_columns_in_project_id}
Platform::Objects::PinnedEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/pinned_event/{pinned_id}
Platform::Objects::RemovedFromProjectEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/removed_from_project_event/{removed_from_project_id}
Platform::Objects::TransferredEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/transferred_event/{transferred_id}
Platform::Objects::UnmarkedAsDuplicateEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/unmarked_as_duplicate_event/{unmarked_as_duplicate_id}
Platform::Objects::UnpinnedEvent,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/unpinned_event/{unpinned_event_id}
Platform::Objects::Push,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/push/{push_id}
Platform::Objects::StatusCheckRollup,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/status_check_rollup/{status_check_rollup_id}
Platform::Objects::Epoch,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/epoch/{epoch_id}
Platform::Objects::EpochOperation,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/epoch_operation/{epoch_operation_id}
Platform::Objects::BranchProtectionRule,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/branch_protection_rule/{branch_protection_rule_id}
Platform::Objects::ReviewDismissalAllowance,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/branch_protection_rule/{branch_protection_rule_id}/review_dismissal_allowance/{review_dismissal_allowance_id}
Platform::Objects::PushAllowance,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/branch_protection_rule/{branch_protection_rule_id}/push_allowance/{push_allowance_id}
Platform::Objects::ReleaseAsset,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/release_asset/{release_asset_id}
Platform::Objects::MarketplaceCategory,/marketplace_category/{marketplace_category_id}
Platform::Objects::PackageFile,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/package_file/{package_file_id}
Platform::Objects::Discussion,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/discussion/{discussion_id}
Platform::Objects::DiscussionComment,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/discussion_comment/{discussion_comment_id}
Platform::Objects::DiscussionCategory,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/discussion_category/{discussion_category_id}
Platform::Objects::Gist,/user/{user_id}/gist/{gist_id}
Platform::Objects::GistComment,/user/{user_id}/gist/{gist_id}/gist_comment/{gist_comment_id}
Platform::Objects::Language,/language/{language_id}
Platform::Objects::AuditLog::MembersCanDeleteReposClearAuditEntry,
Platform::Objects::AuditLog::MembersCanDeleteReposDisableAuditEntry,
Platform::Objects::AuditLog::MembersCanDeleteReposEnableAuditEntry,
Platform::Objects::AuditLog::OauthApplicationCreateAuditEntry,
Platform::Objects::AuditLog::OrgAddBillingManagerAuditEntry,
Platform::Objects::AuditLog::OrgAddMemberAuditEntry,
Platform::Objects::AuditLog::OrgBlockUserAuditEntry,
Platform::Objects::AuditLog::OrgConfigDisableCollaboratorsOnlyAuditEntry,
Platform::Objects::AuditLog::OrgConfigEnableCollaboratorsOnlyAuditEntry,
Platform::Objects::AuditLog::OrgCreateAuditEntry,
Platform::Objects::AuditLog::OrgDisableOauthAppRestrictionsAuditEntry,
Platform::Objects::AuditLog::OrgDisableSamlAuditEntry,
Platform::Objects::AuditLog::OrgDisableTwoFactorRequirementAuditEntry,
Platform::Objects::AuditLog::OrgEnableOauthAppRestrictionsAuditEntry,
Platform::Objects::AuditLog::OrgEnableSamlAuditEntry,
Platform::Objects::AuditLog::OrgEnableTwoFactorRequirementAuditEntry,
Platform::Objects::AuditLog::OrgInviteMemberAuditEntry,
Platform::Objects::AuditLog::OrgInviteToBusinessAuditEntry,
Platform::Objects::AuditLog::OrgOauthAppAccessApprovedAuditEntry,
Platform::Objects::AuditLog::OrgOauthAppAccessDeniedAuditEntry,
Platform::Objects::AuditLog::OrgOauthAppAccessRequestedAuditEntry,
Platform::Objects::AuditLog::OrgRemoveBillingManagerAuditEntry,
Platform::Objects::AuditLog::OrgRemoveMemberAuditEntry,
Platform::Objects::AuditLog::OrgRemoveOutsideCollaboratorAuditEntry,
Platform::Objects::AuditLog::OrgRestoreMemberAuditEntry,
Platform::Objects::AuditLog::OrgUnblockUserAuditEntry,
Platform::Objects::AuditLog::OrgUpdateDefaultRepositoryPermissionAuditEntry,
Platform::Objects::AuditLog::OrgUpdateMemberAuditEntry,
Platform::Objects::AuditLog::OrgUpdateMemberRepositoryCreationPermissionAuditEntry,
Platform::Objects::AuditLog::OrgUpdateMemberRepositoryInvitationPermissionAuditEntry,
Platform::Objects::AuditLog::PrivateRepositoryForkingDisableAuditEntry,
Platform::Objects::AuditLog::PrivateRepositoryForkingEnableAuditEntry,
Platform::Objects::AuditLog::RepoAccessAuditEntry,
Platform::Objects::AuditLog::RepoAddMemberAuditEntry,
Platform::Objects::AuditLog::RepoAddTopicAuditEntry,
Platform::Objects::AuditLog::RepoArchivedAuditEntry,
Platform::Objects::AuditLog::RepoChangeMergeSettingAuditEntry,
Platform::Objects::AuditLog::RepoConfigDisableAnonymousGitAccessAuditEntry,
Platform::Objects::AuditLog::RepoConfigDisableCollaboratorsOnlyAuditEntry,
Platform::Objects::AuditLog::RepoConfigDisableContributorsOnlyAuditEntry,
Platform::Objects::AuditLog::RepoConfigDisableSockpuppetDisallowedAuditEntry,
Platform::Objects::AuditLog::RepoConfigEnableAnonymousGitAccessAuditEntry,
Platform::Objects::AuditLog::RepoConfigEnableCollaboratorsOnlyAuditEntry,
Platform::Objects::AuditLog::RepoConfigEnableContributorsOnlyAuditEntry,
Platform::Objects::AuditLog::RepoConfigEnableSockpuppetDisallowedAuditEntry,
Platform::Objects::AuditLog::RepoConfigLockAnonymousGitAccessAuditEntry,
Platform::Objects::AuditLog::RepoConfigUnlockAnonymousGitAccessAuditEntry,
Platform::Objects::AuditLog::RepoCreateAuditEntry,
Platform::Objects::AuditLog::RepoDestroyAuditEntry,
Platform::Objects::AuditLog::RepoRemoveMemberAuditEntry,
Platform::Objects::AuditLog::RepoRemoveTopicAuditEntry,
Platform::Objects::AuditLog::RepositoryVisibilityChangeDisableAuditEntry,
Platform::Objects::AuditLog::RepositoryVisibilityChangeEnableAuditEntry,
Platform::Objects::AuditLog::TeamAddMemberAuditEntry,
Platform::Objects::AuditLog::TeamAddRepositoryAuditEntry,
Platform::Objects::AuditLog::TeamChangeParentTeamAuditEntry,
Platform::Objects::AuditLog::TeamRemoveMemberAuditEntry,
Platform::Objects::AuditLog::TeamRemoveRepositoryAuditEntry,
Platform::Objects::OrganizationIdentityProvider,/organization/{organization_id}/identity_provider/{organization_identity_provider_id}
Platform::Objects::Migration,
Platform::Objects::MigratableResource,
Platform::Objects::MigrationMapConflict,
Platform::Objects::DeployKey,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/deploy_key/{deploy_key_id}
Platform::Objects::PinnedIssue,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/pinned_issue/{pinned_issue_id}
Platform::Objects::CodeOfConduct,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/code_of_conduct/{code_of_conduct_id}
Platform::Objects::RepositoryVulnerabilityAlert,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/vulnerability_alert/{repository_vulnerability_alert_id}
Platform::Objects::SecurityAdvisory,/security_advisory/{ghsa_id}
Platform::Objects::DependencyGraphManifest,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/depenency_graph_manifest/{dependency_graph_manifest_id}
Platform::Objects::Import,/user/{user_id}/import/{import_id}
Platform::Objects::PackageTag,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/package_tag/{package_tag_id}
Platform::Objects::SavedReply,/user/{user_id}/saved_reply/{saved_reply_id}
Platform::Objects::MobilePushNotificationSchedule,/user/{user_id}/mobile_push_notification_schedule/{mobile_push_notification_schedule_id}
Platform::Objects::NotificationThread,/user/{user_id}/notification_thread/{notification_thread_id}
Platform::Objects::RepositoryAdvisory,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/advisory/{repository_advisory_id}
Platform::Objects::RepositoryAdvisoryComment,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/advisory_comment/{repository_advisory_comment_id}
Platform::Objects::NotificationFilter,/user/{user_id}/notification_filter/{notification_filter_id}
Platform::Objects::ContentAttachment,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/content_attachment/{content_attachment_id}
Platform::Objects::ContentReference,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/content_reference/{content_reference_id}
Platform::Objects::Tag,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/tag/{tag_id}